gvkey,iid,datadate,tic,cshtrd,prccd,gind,sic,,,
6565,1,4/1/2016,LRCX,2908555,82.93,453010,3559,,,
6565,1,4/4/2016,LRCX,2048331,82.76,453010,3559,,,
6565,1,4/5/2016,LRCX,1880642,81.69,453010,3559,,,
6565,1,4/6/2016,LRCX,2187151,82.62,453010,3559,,,
6565,1,4/7/2016,LRCX,2500189,81.22,453010,3559,,,
6565,1,4/8/2016,LRCX,1713312,81.12,453010,3559,,,
6565,1,4/11/2016,LRCX,1630283,81.38,453010,3559,,,
6565,1,4/12/2016,LRCX,2399392,81.4,453010,3559,,,
6565,1,4/13/2016,LRCX,2562630,82.81,453010,3559,,,
6565,1,4/14/2016,LRCX,2762760,81.61,453010,3559,,,
6565,1,4/15/2016,LRCX,2880801,81.64,453010,3559,,,
6565,1,4/18/2016,LRCX,2707612,82.06,453010,3559,,,
6565,1,4/19/2016,LRCX,2929619,82.77,453010,3559,,,
6565,1,4/20/2016,LRCX,4077624,82.67,453010,3559,,,
6565,1,4/21/2016,LRCX,3995527,80.82,453010,3559,,,
6565,1,4/22/2016,LRCX,2223052,80.65,453010,3559,,,
6565,1,4/25/2016,LRCX,2231874,80.22,453010,3559,,,
6565,1,4/26/2016,LRCX,2710584,80.25,453010,3559,,,
6565,1,4/27/2016,LRCX,3784113,80.97,453010,3559,,,
6565,1,4/28/2016,LRCX,3234217,78.16,453010,3559,,,
6565,1,4/29/2016,LRCX,4548059,76.4,453010,3559,,,
6565,1,5/2/2016,LRCX,3720643,76.59,453010,3559,,,
6565,1,5/3/2016,LRCX,3325598,75.73,453010,3559,,,
6565,1,5/4/2016,LRCX,3456980,74.9,453010,3559,,,
6565,1,5/5/2016,LRCX,2872433,75.05,453010,3559,,,
6565,1,5/6/2016,LRCX,2352563,74.94,453010,3559,,,
6565,1,5/9/2016,LRCX,2440354,74.64,453010,3559,,,
6565,1,5/10/2016,LRCX,2755859,75.95,453010,3559,,,
6565,1,5/11/2016,LRCX,1913335,75.61,453010,3559,,,
6565,1,5/12/2016,LRCX,2332827,74.9,453010,3559,,,
6565,1,5/13/2016,LRCX,2148995,74.34,453010,3559,,,
6565,1,5/16/2016,LRCX,4115559,73.46,453010,3559,,,
6565,1,5/17/2016,LRCX,3356696,73.14,453010,3559,,,
6565,1,5/18/2016,LRCX,2334606,73.97,453010,3559,,,
6565,1,5/19/2016,LRCX,1819942,73.32,453010,3559,,,
6565,1,5/20/2016,LRCX,3495142,76.68,453010,3559,,,
6565,1,5/23/2016,LRCX,3232460,76.82,453010,3559,,,
6565,1,5/24/2016,LRCX,3592267,79.27,453010,3559,,,
6565,1,5/25/2016,LRCX,2951259,80.62,453010,3559,,,
6565,1,5/26/2016,LRCX,1929931,81.02,453010,3559,,,
6565,1,5/27/2016,LRCX,3736174,82.97,453010,3559,,,
6565,1,5/31/2016,LRCX,2574036,82.81,453010,3559,,,
6565,1,6/1/2016,LRCX,2197574,83.13,453010,3559,,,
6565,1,6/2/2016,LRCX,2828865,83.63,453010,3559,,,
6565,1,6/3/2016,LRCX,1646908,83.1,453010,3559,,,
6565,1,6/6/2016,LRCX,1516725,82.32,453010,3559,,,
6565,1,6/7/2016,LRCX,1694957,82.97,453010,3559,,,
